pattern_number, centre, delta_centre, fwhm, delta_fwhm, left_hwhm, delta_left_hwhm, right_hwhm, delta_right_hwhm, height, delta_height, lshape, delta_lshape, rshape, delta_rshape, info
13, 11.1131, 0.00093028, 0.0276434, 0.0017220777182229612, 0.0140871, 0.00123, 0.0135563, 0.00120526, 0.985409, 0.0250732, 1.07943, 0.175019, 1.49759, 0.35611, 'SS316L'
13, 12.1088, 0.000301592, 0.0199086, 0.0004959165522787075, 0.0111342, 0.000360082, 0.0087744, 0.00034099, 4.16655, 0.0548689, 1.34439, 0.0870105, 1.3768, 0.105625, 'SS316L'
13, 12.4271, 0.000741946, 0.0233743, 0.0013409881211587967, 0.0132577, 0.000974865, 0.0101166, 0.000920808, 1.19789, 0.0290842, 1.41299, 0.264318, 1.58299, 0.394915, 'SS316L'
14, 4.81521, 1.08112e-05, 0.00744823, 1.5415530965879832e-05, 0.00389833, 1.1371e-05, 0.0035499, 1.04086e-05, 706.492, 1.00285, 1.46782, 0.00479345, 1.62268, 0.00625695, 'SS316L'
14, 5.56369, 3.55844e-05, 0.01319656, 5.293166304821718e-05, 0.00700572, 3.82123e-05, 0.00619084, 3.66276e-05, 118.795, 0.316134, 1.39723, 0.0092729, 1.52651, 0.0121144, 'SS316L'
14, 7.86327, 3.77686e-05, 0.01225354, 5.708834869612187e-05, 0.00681317, 4.13199e-05, 0.00544037, 3.93922e-05, 93.6105, 0.292007, 1.31584, 0.00916613, 1.33781, 0.0111512, 'SS316L'
14, 9.22163, 9.58971e-05, 0.01780286, 0.0001496239287313363, 0.010288, 0.000110268, 0.00751486, 0.000101135, 24.7459, 0.126151, 1.40925, 0.0226507, 1.37646, 0.0262367, 'SS316L'
14, 9.62637, 5.82004e-05, 0.01228205, 8.953771164475893e-05, 0.0067289, 6.49003e-05, 0.00555315, 6.16843e-05, 42.5138, 0.196975, 1.31154, 0.016015, 1.41238, 0.0213776, 'SS316L'
14, 11.1275, 0.000244572, 0.0255658, 0.00039551902631858305, 0.0144384, 0.000287916, 0.0111274, 0.000271182, 6.63764, 0.0558754, 1.38209, 0.0511628, 1.44761, 0.0666574, 'SS316L'
14, 12.1137, 0.000304606, 0.0215754, 0.0004950481041525156, 0.0113426, 0.000354241, 0.0102328, 0.000345812, 4.17824, 0.0488249, 1.46952, 0.0985696, 1.74765, 0.151249, 'SS316L'
14, 12.4297, 0.000381325, 0.0259203, 0.0006297323289207884, 0.0126882, 0.000445278, 0.0132321, 0.000445298, 3.31313, 0.0405961, 1.1758, 0.07185, 1.92163, 0.194733, 'SS316L'
15, 4.8161, 1.21694e-05, 0.00747933, 1.7368613349948234e-05, 0.00446766, 1.21349e-05, 0.00301167, 1.24263e-05, 381.331, 0.59248, 1.651, 0.0063282, 1.4887, 0.00701123, 'SS316L'
15, 5.56098, 3.6633e-05, 0.012029370000000001, 5.568350636409313e-05, 0.00680136, 4.10976e-05, 0.00522801, 3.75718e-05, 65.1619, 0.196222, 1.36696, 0.0104537, 1.41718, 0.0132354, 'SS316L'
15, 7.85962, 2.23409e-05, 0.011923969999999999, 3.3596999598922524e-05, 0.00703307, 2.52373e-05, 0.0048909, 2.21774e-05, 152.252, 0.29638, 1.34752, 0.00541663, 1.23054, 0.00554913, 'SS316L'
15, 9.21596, 4.64059e-05, 0.016924639999999998, 7.143839811669912e-05, 0.00987854, 5.28218e-05, 0.0070461, 4.80968e-05, 55.3736, 0.151657, 1.3664, 0.00948572, 1.34313, 0.0113609, 'SS316L'
15, 9.62399, 4.2298e-05, 0.01142125, 6.563389052836957e-05, 0.00651782, 4.83605e-05, 0.00490343, 4.43742e-05, 44.258, 0.165001, 1.30706, 0.0122253, 1.29459, 0.0143404, 'SS316L'
15, 11.1164, 0.000283896, 0.0245292, 0.0004727365069147929, 0.013929, 0.000344861, 0.0106002, 0.000323343, 3.37286, 0.0333834, 1.31781, 0.064893, 1.35411, 0.0814276, 'SS316L'
